detector,descriptor,frame_index,track_id,keypoint_count,match_count,filtered_match_count,num_pairs,ttc_camera
SIFT,FREAK,3,1,1668,102,97,704,12.6764
SIFT,AKAZE,3,1,1837,45,43,252,12.5526
SIFT,SIFT,3,1,1837,99,92,626,13.1597
SHITOMASI,BRIEF,3,1,1652,94,94,563,13.5261
SHITOMASI,ORB,3,1,1628,87,83,387,14.9052
SHITOMASI,FREAK,3,1,1685,67,62,292,13.7509
SHITOMASI,AKAZE,3,1,1850,97,97,612,13.8394
SHITOMASI,SIFT,3,1,1850,94,94,528,13.9841
HARRIS,BRIEF,4,1,993,57,57,57,86.2608
HARRIS,ORB,4,1,990,57,57,58,14.4179
HARRIS,FREAK,4,1,1007,56,56,58,82.6680
HARRIS,AKAZE,4,1,1039,57,57,57,14.2708
HARRIS,SIFT,4,1,1039,60,60,57,14.3255
FAST,BRIEF,4,1,939,62,62,358,13.8186
FAST,ORB,4,1,936,63,62,339,14.0808
FAST,FREAK,4,1,951,47,45,192,12.8942
FAST,AKAZE,4,1,1004,66,66,373,14.4076
FAST,SIFT,4,1,1004,67,67,373,14.4076
BRISK,BRIEF,4,1,2826,191,190,2428,20.7951
BRISK,ORB,4,1,2811,155,152,1625,15.6810
BRISK,FREAK,4,1,2393,148,145,1495,15.5422
BRISK,AKAZE,4,1,2855,143,130,1089,14.6750
BRISK,SIFT,4,1,2855,185,179,2116,19.5755
ORB,BRIEF,4,1,500,63,63,507,20.2057
ORB,ORB,4,1,500,57,57,481,14.4451
ORB,FREAK,4,1,162,34,34,66,11.3250
ORB,AKAZE,4,1,500,45,36,196,nan
ORB,SIFT,4,1,500,59,53,365,nan
AKAZE,BRIEF,4,1,1545,105,105,1024,15.9349
AKAZE,ORB,4,1,1540,100,100,911,16.0635
AKAZE,FREAK,4,1,1545,98,95,916,16.0630
AKAZE,AKAZE,4,1,1545,98,97,905,15.6636
AKAZE,SIFT,4,1,1545,103,103,970,14.8058
SIFT,BRIEF,4,1,1655,111,110,901,16.8361
SIFT,ORB,4,1,1633,90,88,645,17.4042
SIFT,FREAK,4,1,1659,95,91,652,17.1442
SIFT,AKAZE,4,1,1828,39,38,193,16.1056
SIFT,SIFT,4,1,1828,96,86,650,16.8361
SHITOMASI,BRIEF,4,1,1621,84,84,458,12.9702
SHITOMASI,ORB,4,1,1603,83,83,436,13.0220
SHITOMASI,FREAK,4,1,1649,67,66,311,13.8255
SHITOMASI,AKAZE,4,1,1828,84,84,444,12.9702
SHITOMASI,SIFT,4,1,1828,83,83,428,13.0160
HARRIS,BRIEF,5,1,946,83,83,162,13.3530
HARRIS,ORB,5,1,941,83,83,161,13.2483
HARRIS,FREAK,5,1,950,75,72,132,14.5356
HARRIS,AKAZE,5,1,996,83,83,162,13.1921
HARRIS,SIFT,5,1,996,82,82,160,13.3154
FAST,BRIEF,5,1,911,57,56,299,nan
FAST,ORB,5,1,903,55,55,284,nan
FAST,FREAK,5,1,922,43,40,149,45.2203
FAST,AKAZE,5,1,972,59,59,309,nan
FAST,SIFT,5,1,972,59,59,308,nan
BRISK,BRIEF,5,1,2874,166,162,1590,25.6255
BRISK,ORB,5,1,2853,145,143,1415,21.5683
BRISK,FREAK,5,1,2450,136,135,1206,22.8587
BRISK,AKAZE,5,1,2906,134,118,853,21.5279
BRISK,SIFT,5,1,2906,165,159,1550,24.0156
